x,est_87,est_1
0,69.40860215053765,70.16129032258064
1,69.24731182795698,70.56451612903226
2,69.24731182795698,70.64516129032258
3,69.40860215053763,70.64516129032258
4,69.46236559139786,70.64516129032258
5,69.6774193548387,70.64516129032258
6,69.03225806451613,70.28225806451613
7,67.52688172043011,67.05645161290323
8,63.60215053763441,62.74193548387097
9,58.27956989247312,58.66935483870968
10,51.98924731182796,60.12096774193548
11,48.81720430107527,59.193548387096776
12,47.903225806451616,59.314516129032256
13,47.41935483870968,55.0
14,47.903225806451616,54.91935483870968
15,53.763440860215056,61.814516129032256
16,58.97849462365592,59.516129032258064
17,61.935483870967744,58.58870967741935
18,61.93548387096775,55.32258064516129
19,70.59139784946237,51.25
20,66.29032258064517,52.33870967741935
21,69.78494623655915,57.70161290322581
22,71.23655913978494,63.38709677419355
23,67.7956989247312,69.35483870967742
