x,value
1918.25625,27
3939.2687499999997,182
5960.28125,33
7981.29375,12
10002.30625,5
12023.31875,1
14044.33125,0
16065.34375,0
18086.356249999997,0
20107.36875,0
22128.38125,0
24149.393750000003,0
26170.40625,0
28191.41875,0
30212.43125,0
32233.44375,0
34254.45625,0
36275.46875,0
38296.48125,0
40317.49375,1
