x,est_87,est_212
0,13.9375,16.25
1,14.0,16.25
2,14.0,16.25
3,14.041666666666666,16.25
4,14.166666666666666,16.25
5,14.166666666666666,16.25
6,14.041666666666666,16.208333333333332
7,13.729166666666666,14.354166666666666
8,12.125,13.666666666666666
9,10.854166666666666,14.708333333333334
10,9.541666666666666,15.708333333333334
11,8.791666666666666,15.541666666666666
12,9.520833333333334,15.6875
13,9.3125,15.208333333333334
14,8.75,14.041666666666666
15,9.354166666666666,13.875
16,10.0,13.8125
17,10.729166666666666,14.604166666666666
18,11.229166666666666,15.083333333333334
19,12.833333333333334,14.770833333333334
20,12.020833333333334,15.75
21,13.1875,16.0625
22,14.125,16.270833333333332
23,13.729166666666666,16.25
