station_id,capacity,latitude,longitude
187,18.0,37.38263,-5.97085
188,15.0,37.39002,-5.97447
189,18.0,37.3828,-5.97351
190,20.0,37.38158,-5.96522
191,15.0,37.39879,-5.99347
192,14.0,37.40411,-5.93709
193,20.0,37.40389,-5.92795
194,20.0,37.37323,-5.97389
195,15.0,37.388,-5.99359
196,15.0,37.41022,-5.92642
197,15.0,37.38044,-5.95348
198,18.0,37.3952,-5.99087
199,20.0,37.36026,-5.97666
200,20.0,37.37769,-5.9608
201,20.0,37.41568,-5.96786
202,15.0,37.41217,-6.00634
203,15.0,37.39226,-5.98988
204,15.0,37.39739,-5.91878
205,30.0,37.40167,-5.94214
206,15.0,37.38426,-5.97259
207,15.0,37.37679,-5.99789
208,20.0,37.37508,-5.97586
209,20.0,37.42344,-5.9664
210,15.0,37.41335,-5.98257
211,18.0,37.40103,-5.98858
212,25.0,37.38645,-5.9976
213,30.0,37.32458,-5.96897
214,15.0,37.35635,-5.98646
215,15.0,37.41099,-5.97163
216,17.0,37.40813,-5.91999
217,15.0,37.39755,-5.9967
218,20.0,37.38735,-5.91992
219,20.0,37.39454,-5.9799
220,20.0,37.36143,-5.9816
221,17.0,37.39784,-5.9985
222,20.0,37.38934,-5.99961
223,20.0,37.39291,-5.97074
224,20.0,37.36475,-5.98145
225,20.0,37.40068,-5.99363
226,20.0,37.39302,-5.98686
227,20.0,37.37773,-5.97724
228,20.0,37.38554,-6.01109
229,20.0,37.38132,-6.00105
230,20.0,37.37005,-5.9595
231,15.0,37.38061,-5.96057
232,15.0,37.39332,-5.98377
233,15.0,37.40071,-5.92654
234,20.0,37.37716,-5.98194
235,20.0,37.38714,-5.94841
236,20.0,37.40313,-5.98111
237,15.0,37.38535,-5.98679
238,15.0,37.39648,-5.98737
239,30.0,37.39445,-5.92123
240,20.0,37.38894,-5.99565
241,20.0,37.39071,-5.98277
242,15.0,37.40965,-5.9844
243,37.0,37.40487,-5.98654
244,19.0,37.39423,-6.01031
245,15.0,37.35874,-5.98128
246,20.0,37.40202,-5.98632
247,30.0,37.3698,-5.97819
248,20.0,37.35637,-5.97926
249,24.0,37.38015,-6.00438
250,40.0,37.37477,-5.99854
251,20.0,37.39116,-5.97597
252,20.0,37.36913,-5.98808
253,14.0,37.36805,-5.98485
254,20.0,37.3913,-5.98814
255,17.0,37.35983,-5.98638
256,15.0,37.37465,-5.9938
257,18.0,37.38664,-5.95398
258,20.0,37.39154,-5.96847
259,30.0,37.4091,-5.99092
