x,Est_194,Est_221
0,53.87096774193548,59.354838709677416
1,53.38709677419355,60.0
2,53.38709677419355,60.0
3,53.38709677419355,59.83870967741935
4,53.185483870967744,59.83870967741935
5,52.903225806451616,59.395161290322584
6,52.78225806451613,59.03225806451613
7,51.41129032258065,58.91129032258065
8,40.16129032258065,53.38709677419355
9,29.31451612903226,49.596774193548384
10,26.370967741935484,48.225806451612904
11,26.93548387096774,46.774193548387096
12,27.338709677419356,43.185483870967744
13,28.467741935483872,43.104838709677416
14,29.919354838709676,46.53225806451613
15,37.70161290322581,49.83870967741935
16,39.95967741935484,51.935483870967744
17,40.645161290322584,53.185483870967744
18,39.233870967741936,52.70161290322581
19,40.92741935483871,52.903225806451616
20,45.92741935483871,53.99193548387097
21,47.62096774193548,55.16129032258065
22,51.774193548387096,53.83064516129032
23,54.87903225806452,57.37903225806452
