x,est_12,est_13,est_122
0,0.0,0.03225806451612903,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.03225806451612903,0.0
9,0.0,0.0967741935483871,0.0
10,0.0,0.056451612903225805,0.0
11,0.0,0.04032258064516129,0.0
12,0.008064516129032258,0.024193548387096774,0.0
13,0.008064516129032258,0.03225806451612903,0.0
14,0.016129032258064516,0.024193548387096774,0.0
15,0.0,0.016129032258064516,0.0
16,0.016129032258064516,0.016129032258064516,0.0
17,0.0,0.008064516129032258,0.0
18,0.016129032258064516,0.0,0.016129032258064516
19,0.0,0.03225806451612903,0.016129032258064516
20,0.0,0.016129032258064516,0.0
21,0.0,0.024193548387096774,0.0
22,0.0,0.008064516129032258,0.0
23,0.016129032258064516,0.0,0.0
