x,Est_12
0,6.875
1,6.875
2,6.875
3,6.875
4,6.875
5,6.875
6,6.875
7,6.78125
8,7.0
9,6.5
10,6.4375
11,6.03125
12,6.28125
13,6.625
14,7.4375
15,7.9375
16,8.84375
17,8.3125
18,7.25
19,7.28125
20,7.03125
21,7.15625
22,7.34375
23,7.25
