x,Est_221
0,221.25
1,441.25
2,661.25
3,881.25
4,1101.25
5,1321.25
6,1541.25
7,1757.5
8,1926.25
9,2073.75
10,2230.0
11,2370.0
12,2480.0
13,2597.5
14,2738.75
15,2925.0
16,3120.0
17,3320.0
18,3527.5
19,3721.25
20,3926.25
21,4148.75
22,4350.0
23,4576.25
