x,Est_87,Est_99
0,70.0,42.5
1,70.0,46.66666666666667
2,70.0,45.0
3,70.0,43.333333333333336
4,70.0,43.333333333333336
5,70.0,43.333333333333336
6,72.5,43.333333333333336
7,73.33333333333334,40.0
8,73.33333333333334,35.833333333333336
9,70.83333333333334,30.0
10,71.66666666666667,26.666666666666668
11,70.0,20.833333333333336
12,75.0,19.166666666666668
13,81.66666666666667,15.0
14,79.16666666666667,14.166666666666668
15,85.83333333333334,16.666666666666668
16,92.5,16.666666666666668
17,89.16666666666667,29.166666666666668
18,80.0,32.5
19,89.16666666666667,28.333333333333336
20,85.0,32.5
21,86.66666666666667,25.833333333333336
22,86.66666666666667,19.166666666666668
23,90.0,20.0
