x,Est_87,Est_99
0,140.0,85.0
1,280.0,178.33333333333334
2,420.0,268.33333333333337
3,560.0,355.00000000000006
4,700.0,441.66666666666674
5,840.0,528.3333333333334
6,985.0,615.0
7,1131.6666666666667,695.0
8,1278.3333333333335,766.6666666666666
9,1420.0000000000002,826.6666666666666
10,1563.3333333333335,880.0
11,1703.3333333333335,921.6666666666666
12,1853.3333333333335,960.0
13,2016.6666666666667,990.0
14,2175.0,1018.3333333333334
15,2346.6666666666665,1051.6666666666667
16,2531.6666666666665,1085.0
17,2710.0,1143.3333333333333
18,2870.0,1208.3333333333333
19,3048.3333333333335,1265.0
20,3218.3333333333335,1330.0
21,3391.666666666667,1381.6666666666667
22,3565.0000000000005,1420.0
23,3745.0000000000005,1460.0
