x,Est_234,Est_240
0,53.38709677419355,67.8494623655914
1,55.0,67.76881720430109
2,55.053763440860216,67.55376344086022
3,55.053763440860216,67.52688172043011
4,55.053763440860216,67.44623655913979
5,55.053763440860216,67.41935483870968
6,55.10752688172043,65.96774193548387
7,52.473118279569896,55.48387096774194
8,50.37634408602151,57.66129032258065
9,49.40860215053764,59.78494623655914
10,47.31182795698925,62.553763440860216
11,46.344086021505376,65.83333333333334
12,47.74193548387097,68.1989247311828
13,51.72043010752689,68.60215053763442
14,51.61290322580645,68.09139784946237
15,56.23655913978495,64.38172043010753
16,56.075268817204304,64.05913978494624
17,50.752688172043015,65.51075268817205
18,47.15053763440861,67.28494623655915
19,41.3978494623656,69.30107526881721
20,38.763440860215056,71.12903225806451
21,37.8494623655914,70.16129032258064
22,41.23655913978495,68.8978494623656
23,50.0,67.76881720430109
