x,Est_87,Est_212
0,69.94623655913979,46.1021505376344
1,69.6774193548387,45.878136200716845
2,69.6774193548387,45.878136200716845
3,69.83870967741936,45.878136200716845
4,69.89247311827958,45.878136200716845
5,69.89247311827958,45.878136200716845
6,69.40860215053765,46.1021505376344
7,68.01075268817205,42.1594982078853
8,66.18279569892474,42.78673835125448
9,63.5483870967742,46.1021505376344
10,58.65591397849463,51.747311827956985
11,55.16129032258065,52.598566308243726
12,54.13978494623657,53.09139784946236
13,54.67741935483871,53.001792114695334
14,54.892473118279575,48.38709677419355
15,59.24731182795699,47.759856630824366
16,63.870967741935495,46.1021505376344
17,65.6989247311828,46.14695340501792
18,65.80645161290323,46.281362007168454
19,73.38709677419355,46.05734767025089
20,69.89247311827958,45.878136200716845
21,72.8494623655914,46.818996415770606
22,73.54838709677419,45.20609318996416
23,69.94623655913979,44.354838709677416
