station_id,t,value
1,520,27.5
4,520,46.25
13,520,10.0
15,520,10.9375
26,520,26.666666666666668
38,520,47.5
44,520,26.25
46,520,55.0
48,520,70.0
50,520,77.5
53,520,9.210526315789473
56,520,36.66666666666667
57,520,88.75
58,520,55.0
60,520,16.25
61,520,86.8421052631579
78,520,100.0
81,520,50.0
86,520,60.0
87,520,56.66666666666667
97,520,90.0
99,520,15.0
102,520,45.0
105,520,27.5
109,520,12.5
112,520,5.0
114,520,25.0
120,520,25.0
128,520,54.375
134,520,60.0
140,520,10.0
141,520,36.66666666666667
148,520,44.16666666666667
151,520,55.55555555555556
157,520,13.333333333333334
158,520,85.0
159,520,40.0
161,520,59.72222222222222
163,520,90.0
174,520,20.0
190,520,6.944444444444445
194,520,75.0
212,520,11.11111111111111
224,520,32.5
226,520,5.0
243,520,33.333333333333336
245,520,68.42105263157896
249,520,87.5
255,520,50.0
