station_id,t,value
1,40,46.25
4,40,18.75
13,40,27.5
15,40,9.375
26,40,86.66666666666667
38,40,98.75
44,40,1.25
46,40,88.33333333333334
48,40,83.33333333333334
50,40,33.75
53,40,81.57894736842107
56,40,40.0
57,40,37.5
58,40,71.25
60,40,53.75
61,40,72.36842105263159
78,40,47.05882352941177
81,40,60.0
86,40,100.0
87,40,60.0
97,40,18.333333333333332
99,40,43.333333333333336
102,40,33.333333333333336
105,40,41.25
109,40,88.75
112,40,10.0
114,40,47.5
120,40,0.0
128,40,69.375
134,40,65.0
140,40,42.5
141,40,75.0
148,40,50.0
151,40,11.11111111111111
157,40,11.666666666666668
158,40,45.0
159,40,73.33333333333334
161,40,63.888888888888886
163,40,73.33333333333334
174,40,26.666666666666668
190,40,20.833333333333332
194,40,40.0
212,40,94.44444444444444
224,40,70.0
226,40,20.0
243,40,58.33333333333334
245,40,77.63157894736842
249,40,75.0
255,40,27.5
