x,Est_221
0,90.0
1,91.875
2,91.875
3,91.875
4,91.875
5,90.9375
6,90.0
7,90.0
8,85.78125
9,82.34375
10,80.3125
11,76.71875
12,71.09375
13,70.46875
14,75.9375
15,78.59375
16,80.9375
17,82.96875
18,82.1875
19,80.9375
20,81.25
21,82.8125
22,79.84375
23,83.75
