x,mean
0,69.94623655913979
1,69.6774193548387
2,69.6774193548387
3,69.83870967741936
4,69.89247311827958
5,69.89247311827958
6,69.40860215053765
7,68.01075268817205
8,66.18279569892474
9,63.5483870967742
10,58.65591397849463
11,55.16129032258065
12,54.13978494623657
13,54.67741935483871
14,54.892473118279575
15,59.24731182795699
16,63.870967741935495
17,65.6989247311828
18,65.80645161290323
19,73.38709677419355
20,69.89247311827958
21,72.8494623655914
22,73.54838709677419
23,69.94623655913979
