x,Est_13
0,48.59375
1,48.125
2,48.4375
3,48.75
4,48.75
5,48.75
6,49.21875
7,50.46875
8,41.09375
9,26.25
10,25.3125
11,21.875
12,26.5625
13,29.84375
14,30.15625
15,31.71875
16,33.75
17,26.875
18,28.28125
19,28.125
20,29.0625
21,34.53125
22,43.75
23,47.1875
