x,Est_221
0,91.875
1,93.75
2,93.75
3,93.75
4,93.75
5,92.8125
6,91.875
7,91.875
8,87.65625
9,84.21875
10,81.71875
11,78.4375
12,73.4375
13,71.875
14,77.1875
15,79.6875
16,81.5625
17,83.59375
18,83.28125
19,82.1875
20,82.5
21,84.53125
22,82.1875
23,87.96875
