x,Est_13
0,1512.5
1,3047.5
2,4585.0
3,6130.0
4,7675.0
5,9215.0
6,10746.25
7,12315.0
8,13615.0
9,14687.5
10,15676.25
11,16581.25
12,17528.75
13,18513.75
14,19502.5
15,20547.5
16,21682.5
17,22748.75
18,23928.75
19,25066.25
20,26162.5
21,27341.25
22,28688.75
23,30195.0
