x,est_96,est_111,est_161
0,46.59498207885304,40.685483870967744,68.63799283154123
1,45.758661887694146,40.96774193548387,69.53405017921148
2,45.758661887694146,40.96774193548387,69.57885304659497
3,45.8183990442055,40.96774193548387,69.71326164874552
4,45.878136200716845,41.04838709677419,70.07168458781362
5,45.758661887694146,42.25806451612903,70.43010752688171
6,46.62485065710872,43.38709677419355,69.17562724014337
7,47.34169653524492,43.225806451612904,67.1594982078853
8,53.8231780167264,44.556451612903224,60.97670250896057
9,65.91995221027479,46.08870967741935,53.853046594982075
10,66.726403823178,45.524193548387096,51.25448028673835
11,64.75507765830346,47.17741935483871,49.283154121863795
12,63.918757467144566,47.33870967741935,52.643369175627235
13,61.081242532855434,48.064516129032256,54.88351254480286
14,54.121863799283155,47.58064516129032,57.21326164874552
15,53.763440860215056,47.82258064516129,57.93010752688172
16,54.988052568697725,46.814516129032256,58.19892473118279
17,53.853046594982075,46.29032258064516,56.45161290322581
18,52.71804062126643,46.53225806451613,51.83691756272401
19,50.26881720430108,41.935483870967744,52.016129032258064
20,45.66905615292712,41.20967741935484,51.61290322580645
21,42.831541218637994,41.12903225806452,54.97311827956989
22,45.3405017921147,39.63709677419355,60.43906810035842
23,49.13381123058543,38.185483870967744,67.78673835125447
