station_id
1
4
13
15
26
38
44
46
48
50
53
56
57
58
60
61
78
81
86
87
97
99
102
105
109
112
114
120
128
134
140
141
148
151
157
158
159
161
163
174
190
194
212
224
226
243
245
249
255
