x,value
0,371.5
1,41.55745967741935
2,89.56720430107526
3,41.54793906810036
4,45.646841397849464
5,50.058803763440864
6,45.40888511601584
7,54.42204301075269
8,39.72701149425287
9,28.78320683111955
10,60.683803763440864
11,35.86021505376344
12,45.769489247311824
13,40.58467741935484
14,71.83579749103941
15,33.70715725806452
16,83.36917562724015
17,38.37167931688805
18,10.775089605734768
19,58.70743727598567
20,56.350806451612904
21,36.01814516129032
22,52.669690860215056
23,47.040770609319
24,55.720766129032256
25,40.54099462365591
26,44.89247311827957
27,78.15944220430107
28,54.72950268817204
29,31.2684811827957
30,54.9271953405018
31,47.62264784946237
32,46.849798387096776
33,31.995967741935484
34,70.53343413978494
35,58.605510752688176
36,20.063844086021504
37,53.92697132616488
38,46.09543010752688
39,66.99384550084889
40,53.0062724014337
41,48.110812425328554
42,43.03763440860215
43,45.123207885304666
44,32.25974462365591
45,62.641129032258064
46,45.519713261648754
47,60.571236559139784
48,50.94310035842294
49,72.1915676287493
50,55.220094086021504
51,59.191868279569896
52,44.36827956989247
53,47.92374080362195
54,71.3508064516129
55,44.14986559139785
56,54.211469534050174
57,72.02620967741936
58,70.04872311827957
59,73.71135752688173
60,36.68514784946237
61,74.62507074136956
62,54.72296893667862
63,22.524641577060937
64,55.099126344086024
65,35.174731182795696
66,40.57459677419356
67,46.229838709677416
68,25.138888888888893
69,35.16129032258065
70,60.48611111111111
71,16.47905465949821
72,54.583333333333336
73,28.951612903225808
74,28.844086021505376
75,52.40015360983104
76,35.34106182795699
77,13.272849462365592
78,68.28549968374448
79,73.44310035842294
80,35.02912186379929
81,44.95071684587814
82,66.11447132616487
83,31.787634408602152
84,31.24775985663082
85,40.27889784946237
86,52.00100806451613
87,65.74372759856632
88,71.3328853046595
89,50.97278225806452
90,46.31336405529954
91,53.109187223276415
92,49.119623655913976
93,40.38474462365591
94,44.67517921146954
95,53.55407361455749
96,52.01861808044604
97,39.733422939068106
98,62.69951276881721
99,36.780913978494624
100,85.52195340501794
101,47.25806451612903
102,46.617383512544805
103,52.19758064516129
104,50.334341397849464
105,57.207661290322584
106,64.25403225806451
107,58.15692204301075
108,60.93245967741935
109,58.765120967741936
110,75.0100806451613
111,43.724798387096776
112,28.617271505376344
113,55.89549731182796
114,53.102598566308245
115,74.16666666666667
116,34.509408602150536
117,48.35853494623656
118,33.82686491935484
119,30.14705882352941
120,12.155577956989248
121,62.790658602150536
122,50.74932795698925
123,55.331541218638
124,17.925067204301076
125,52.39331317204301
126,39.22379032258065
127,29.20380588568195
128,33.957493279569896
129,70.77620967741936
130,51.01478494623656
131,33.94825268817204
132,42.166218637992834
133,34.33635752688172
134,50.14952956989247
135,74.86335125448029
136,60.053763440860216
137,41.89929693961952
138,33.21068548387097
139,44.05577956989247
140,28.507224462365592
141,60.81093189964158
142,52.10685483870968
143,38.03016726403823
144,23.155241935483872
145,56.4896953405018
146,60.42002688172043
147,44.21370967741935
148,58.14404121863799
149,65.30409946236558
150,26.355286738351257
151,60.70415173237753
152,57.14381720430107
153,41.95732526881721
154,33.73431899641577
155,52.233422939068106
156,58.12331989247312
157,31.151433691756274
158,69.2741935483871
159,55.80421146953405
160,71.87724014336918
161,60.23558841099164
162,68.39045698924731
163,41.265681003584234
164,52.73633512544803
165,33.62903225806452
166,58.23084677419355
167,53.23476702508961
168,53.022513440860216
169,64.09106182795699
170,59.894713261648754
171,36.59274193548387
172,61.614583333333336
173,24.892473118279568
174,17.011648745519715
175,65.5510752688172
176,50.50403225806452
177,38.035049627791565
178,65.23689516129032
179,37.25638440860215
180,35.23665514592934
181,40.04704301075269
182,63.491263440860216
183,57.28718637992832
184,46.91308243727599
185,34.89247311827957
186,60.714605734767034
187,47.750336021505376
188,34.07258064516129
189,37.1505376344086
190,19.53405017921147
191,66.47849462365592
192,35.61379928315412
193,24.332757296466976
194,42.97883064516129
195,59.45900537634409
196,57.28718637992832
197,28.579749103942657
198,63.844086021505376
199,50.50963261648745
200,53.812163978494624
201,55.020161290322584
202,19.243951612903224
203,33.30421146953405
204,72.44175627240143
205,42.62320788530466
206,37.092293906810035
207,56.2051971326165
208,48.237007168458774
209,16.160954301075268
210,41.94724462365591
211,63.81496415770609
212,46.9198028673835
213,76.58467741935483
214,58.26388888888889
215,47.84050179211469
216,49.15098566308244
217,42.054079696394695
218,24.861111111111114
219,20.883736559139784
220,45.12600806451613
221,53.67103494623656
222,46.708965844402286
223,36.80611559139785
224,49.64045698924731
225,69.24059139784946
226,38.39213709677419
227,49.14482526881721
228,41.76579301075269
229,49.13978494623656
230,15.977822580645162
231,59.272513440860216
232,35.14784946236559
233,43.11379928315412
234,50.006720430107535
235,22.308467741935484
236,50.26881720430107
237,38.79200268817204
238,55.277777777777786
239,22.267025089605735
240,66.09318996415772
241,26.64146505376344
242,40.85853494623656
243,36.08646953405018
244,70.3910563789596
245,55.66284663271082
246,67.61200716845879
247,59.29939516129032
248,16.04950716845878
249,65.10416666666667
250,65.55639560931901
251,27.999831989247312
252,50.85685483870968
253,46.18111559139785
254,36.355126728110605
255,34.075940860215056
256,73.34163504111322
257,46.46729390681004
258,53.259408602150536
259,45.994623655913976
260,18.877688172043012
